date,hour_local,hour_utc,type,magnitude,latitude,longitude
2001-06-21,12.259444444444444,12.079444444444444,Total,1.05,-11.3,2.7
2001-12-14,12.170277777777779,20.88361111111111,Annular,0.968,0.6,-130.7
2002-06-10,11.849444444444444,23.75611111111111,Annular,0.996,34.5,-178.6
2002-12-04,11.511111111111111,7.5377777777777775,Total,1.024,-39.5,59.6
2003-05-31,2.522777777777778,4.1561111111111115,Annular,0.938,66.6,-24.5
2003-11-23,4.732777777777778,22.839444444444446,Total,1.038,-72.7,88.4
2004-04-19,16.538055555555555,13.584722222222222,Partial,0.737,-61.6,44.3
2004-10-14,16.759722222222223,3.006388888888889,Partial,0.9279999999999999,61.2,-153.7
2005-04-08,12.680833333333334,20.614166666666666,Hybrid,1.0070000000000001,-10.6,-119.0
2005-10-03,12.459722222222222,10.546388888888888,Annular,0.958,12.9,28.7
2006-03-29,11.319722222222222,10.206388888888888,Total,1.052,23.2,16.7
2006-09-22,11.081111111111111,11.687777777777777,Annular,0.935,-20.6,-9.1
2007-03-19,6.2491666666666665,2.549166666666667,Partial,0.8759999999999999,61.0,55.5
2007-09-11,6.526666666666666,12.54,Partial,0.7509999999999999,-61.0,-90.2
2008-02-07,17.90277777777778,3.936111111111111,Annular,0.965,-67.6,-150.5
2008-08-01,15.19,10.37,Total,1.0390000000000001,65.7,72.3
2009-01-26,12.675833333333333,7.995833333333334,Annular,0.9279999999999999,-34.1,70.2
2009-07-22,12.213611111111112,2.6069444444444443,Total,1.08,24.2,144.1
2010-01-15,11.7475,7.1275,Annular,0.919,1.6,69.3
2010-07-11,11.450555555555555,19.577222222222222,Total,1.058,-19.7,-121.9
2011-01-04,10.248333333333333,8.861666666666666,Partial,0.858,64.7,20.8
2011-06-01,0.4083333333333333,21.288333333333334,Partial,0.601,67.8,46.8
2011-07-01,10.565,8.658333333333333,Partial,0.09699999999999999,-65.2,28.6
2011-11-25,0.8633333333333333,6.3566666666666665,Partial,0.905,-68.6,-82.4
2012-05-20,11.651666666666667,23.898333333333333,Annular,0.9440000000000001,49.1,176.3
2012-11-13,11.461944444444445,22.21527777777778,Total,1.05,-40.0,-161.3
2013-05-10,12.13888888888889,0.4388888888888889,Annular,0.9540000000000001,2.2,175.5
2013-11-03,12.013333333333334,12.793333333333333,Hybrid,1.016,3.5,-11.7
2014-04-29,14.829166666666667,6.075833333333334,Annular (non-central),0.987,-70.6,131.3
2014-10-23,15.280833333333334,21.760833333333334,Partial,0.8109999999999999,71.2,-97.2
2015-03-20,9.339722222222223,9.779722222222222,Total,1.045,64.4,-6.6
2015-09-13,6.768611111111111,6.921944444444445,Partial,0.7879999999999999,-72.1,-2.3
2016-03-09,11.891944444444444,1.9719444444444445,Total,1.045,10.1,148.8
2016-09-01,11.653888888888888,9.133888888888889,Annular,0.9740000000000001,-10.7,37.8
2017-02-26,12.829166666666667,14.909166666666666,Annular,0.992,-34.7,-31.2
2017-08-21,12.597777777777777,18.444444444444443,Total,1.031,37.0,-87.7
2018-02-15,20.91583333333333,20.875833333333333,Partial,0.599,-71.0,0.6
2018-07-13,11.53111111111111,3.037777777777778,Partial,0.336,-67.9,127.4
2018-08-11,21.424444444444443,9.79111111111111,Partial,0.737,70.4,174.5
2019-01-06,11.950555555555555,1.7105555555555556,Partial,0.715,67.4,153.6
2019-07-02,12.135555555555555,19.40222222222222,Total,1.046,-17.4,-109.0
2019-12-26,12.134722222222223,5.314722222222223,Annular,0.97,1.0,102.3
2020-06-21,12.000833333333333,6.6875,Annular,0.9940000000000001,30.5,79.7
2020-12-14,11.7175,16.24416666666667,Total,1.025,-40.3,-67.9
2021-06-10,6.2652777777777775,10.71861111111111,Annular,0.943,80.8,-66.8
2021-12-04,4.497222222222222,7.577222222222222,Total,1.037,-76.8,-46.2
2022-04-30,15.943333333333333,20.71,Partial,0.64,-62.1,-71.5
2022-10-25,16.182222222222222,11.022222222222222,Partial,0.862,61.6,77.4
2023-04-20,12.685555555555556,4.2988888888888885,Hybrid,1.013,-9.6,125.8
2023-10-14,12.471388888888889,18.011388888888888,Annular,0.9520000000000001,11.4,-83.1
2024-04-08,11.368055555555555,18.308055555555555,Total,1.057,25.3,-104.1
2024-10-02,11.136944444444444,18.77027777777778,Annular,0.9329999999999999,-22.0,-114.5
2025-03-29,5.67,10.81,Partial,0.938,61.1,-77.1
2025-09-21,5.9511111111111115,19.717777777777776,Partial,0.855,-60.9,153.5
2026-02-17,18.005,12.218333333333334,Annular,0.963,-64.7,86.8
2026-08-12,16.105,17.785,Total,1.0390000000000001,65.2,-25.2
2027-02-06,12.78,16.013333333333332,Annular,0.9279999999999999,-31.3,-48.5
2027-08-02,12.34388888888889,10.130555555555556,Total,1.079,25.5,33.2
2028-01-26,11.716388888888888,15.149722222222222,Annular,0.9209999999999999,3.0,-51.5
2028-07-22,11.391111111111112,2.9444444444444446,Total,1.056,-15.6,126.7
2029-01-14,9.616666666666667,17.23,Partial,0.871,63.7,-114.2
2029-06-12,23.690277777777776,4.103611111111111,Partial,0.45799999999999996,66.8,-66.2
2029-07-11,9.915277777777778,15.621944444444445,Partial,0.23,-64.3,-85.6
2029-12-05,0.11277777777777778,15.06611111111111,Partial,0.8909999999999999,-67.5,135.7
2030-06-01,11.826944444444445,6.486944444444444,Annular,0.9440000000000001,56.5,80.1
2030-11-25,11.606944444444444,6.860277777777778,Total,1.047,-43.6,71.2
2031-05-21,12.047777777777778,7.267777777777778,Annular,0.9590000000000001,8.9,71.7
2031-11-14,11.951944444444445,21.12527777777778,Hybrid,1.011,-0.6,-137.6
2032-05-09,12.971666666666666,13.445,Annular,0.996,-51.3,-7.1
2032-11-03,14.410277777777777,5.570277777777778,Partial,0.855,70.4,132.6
2033-03-30,7.656666666666666,18.043333333333333,Total,1.046,71.3,-155.8
2033-09-23,5.828611111111111,13.908611111111112,Partial,0.6890000000000001,-72.2,-121.2
2034-03-20,11.7925,10.3125,Total,1.046,16.1,22.2
2034-09-12,11.484444444444444,16.324444444444445,Annular,0.9740000000000001,-18.2,-72.6
2035-03-09,12.771666666666667,23.098333333333333,Annular,0.992,-29.0,-154.9
2035-09-02,12.479444444444445,1.9461111111111111,Total,1.032,29.1,158.0
2036-02-27,20.02027777777778,4.780277777777778,Partial,0.629,-71.6,-131.4
2036-07-23,10.775,10.535,Partial,0.19899999999999998,-68.9,3.6
2036-08-21,20.5625,17.429166666666667,Partial,0.862,71.1,47.0
2037-01-16,11.201944444444445,9.815277777777778,Partial,0.705,68.5,20.8
2037-07-13,11.95,2.6766666666666667,Total,1.041,-24.8,139.1
2038-01-05,12.093055555555555,13.786388888888888,Annular,0.973,2.1,-25.4
2038-07-02,12.088611111111112,13.54861111111111,Annular,0.991,25.4,-21.9
2038-12-26,11.936111111111112,1.0027777777777778,Total,1.0270000000000001,-40.3,164.0
2039-06-21,10.408333333333333,17.215,Annular,0.945,78.9,-102.1
2039-12-15,3.9161111111111113,16.39611111111111,Total,1.036,-80.9,172.8
2040-05-11,15.34388888888889,3.7172222222222224,Partial,0.531,-62.8,174.4
2040-11-04,15.590555555555556,19.150555555555556,Partial,0.807,62.2,-53.4
2041-04-30,12.685833333333333,11.8725,Total,1.0190000000000001,-9.6,12.2
2041-10-25,12.466111111111111,1.606111111111111,Annular,0.9470000000000001,9.9,162.9
2042-04-20,11.445,2.2916666666666665,Total,1.061,27.0,137.3
2042-10-14,11.198333333333334,2.0116666666666667,Annular,0.93,-23.7,137.8
2043-04-09,5.0969444444444445,18.96361111111111,Total (non-central),1.01,61.3,152.0
2043-10-03,5.383611111111111,3.0302777777777776,Annular (non-central),0.95,-61.0,35.3
2044-02-28,18.704444444444444,20.41111111111111,Annular,0.96,-62.2,-25.6
2044-08-23,17.25722222222222,1.2838888888888889,Total,1.036,64.3,-120.4
2045-02-16,12.855277777777777,23.935277777777777,Annular,0.9279999999999999,-28.3,-166.2
2045-08-12,12.4775,17.710833333333333,Total,1.077,25.9,-78.5
2046-02-05,11.680555555555555,23.107222222222223,Annular,0.9229999999999999,4.8,-171.4
2046-08-02,11.366944444444444,10.35361111111111,Total,1.053,-12.7,15.2
2047-01-26,9.001666666666667,1.555,Partial,0.8909999999999999,62.9,111.7
2047-06-23,23.00861111111111,10.875277777777777,Partial,0.313,65.8,-178.0
2047-07-22,9.284722222222221,22.60472222222222,Partial,0.361,-63.4,160.2
2047-12-16,23.39666666666667,23.836666666666666,Partial,0.882,-66.4,-6.6
2048-06-11,12.214722222222223,12.981388888888889,Annular,0.9440000000000001,63.7,-11.5
2048-12-05,11.830833333333333,15.590833333333334,Total,1.044,-46.1,-56.4
2049-05-31,12.006388888888889,13.999722222222223,Annular,0.963,15.3,-29.9
2049-11-25,11.91,5.5633333333333335,Hybrid,1.006,-3.8,95.2
2050-05-20,12.467222222222222,20.71388888888889,Hybrid,1.004,-40.1,-123.7
2050-11-14,13.581388888888888,13.514722222222222,Partial,0.887,69.5,1.0
2051-04-11,4.324166666666667,2.1775,Partial,0.985,71.6,32.2
2051-10-04,4.8838888888888885,21.037222222222223,Partial,0.602,-72.0,117.7
2052-03-30,11.698055555555555,18.531388888888888,Total,1.047,22.4,-102.5
2052-09-22,11.319444444444445,23.65277777777778,Annular,0.973,-25.7,175.0
2053-03-20,12.671944444444444,7.1386111111111115,Annular,0.992,-23.0,83.0
2053-09-12,12.349166666666667,9.569166666666666,Total,1.033,21.5,41.7
2054-03-09,19.087777777777777,12.561111111111112,Partial,0.6679999999999999,-72.0,97.9
2054-08-03,9.980555555555556,18.067222222222224,Partial,0.066,-69.8,-121.3
2054-09-02,19.672777777777778,1.1594444444444445,Partial,0.9790000000000001,71.7,-82.3
2055-01-27,10.421388888888888,17.90138888888889,Partial,0.693,69.5,-112.2
2055-07-24,11.68388888888889,9.963888888888889,Total,1.036,-33.3,25.8
2056-01-16,12.045833333333333,22.279166666666665,Annular,0.976,3.9,-153.5
2056-07-12,12.119722222222222,20.36638888888889,Annular,0.988,19.4,-123.7
2057-01-05,12.144444444444444,9.797777777777778,Total,1.0290000000000001,-39.2,35.2
2057-07-01,11.924166666666666,23.670833333333334,Annular,0.946,71.5,-176.2
2057-12-26,2.696388888888889,1.2430555555555556,Total,1.035,-84.9,21.8
2058-05-22,14.730277777777777,10.656944444444445,Partial,0.414,-63.5,61.1
2058-06-21,0.9863888888888889,0.3263888888888889,Partial,0.126,65.9,9.9
2058-11-16,14.998611111111112,3.3852777777777776,Partial,0.764,62.9,174.2
2059-05-11,12.677777777777777,19.371111111111112,Total,1.024,-10.7,-100.4
2059-11-05,12.444166666666666,9.304166666666667,Annular,0.9420000000000001,8.7,47.1
2060-03-30,11.56,10.166666666666666,Total,1.0659999999999998,28.0,20.9
2060-10-24,11.276111111111112,9.402777777777779,Annular,0.9279999999999999,-25.8,28.1
2061-04-20,6.893611111111111,2.9469444444444446,Total,1.048,64.5,59.2
2061-10-13,6.9094444444444445,10.536111111111111,Annular,0.9470000000000001,-62.1,-54.4
2062-03-11,18.63111111111111,4.437777777777778,Partial,0.9329999999999999,-61.0,-147.1
2062-09-03,18.9275,8.9075,Partial,0.975,61.3,150.3
2063-02-28,12.905,7.725,Annular,0.929,-25.2,77.7
2063-08-24,12.596388888888889,1.3697222222222223,Total,1.075,25.6,168.4
2064-02-17,11.653055555555556,7.006388888888889,Annular,0.9259999999999999,7.0,69.7
2064-08-12,11.368333333333334,17.768333333333334,Total,1.0490000000000002,-10.9,-96.0
2065-02-05,8.41388888888889,9.873888888888889,Partial,0.912,62.2,-21.9
2065-07-03,22.357777777777777,17.564444444444444,Partial,0.16399999999999998,64.8,71.9
2065-08-02,8.671388888888888,5.5713888888888885,Partial,0.49,-62.7,46.5
2065-12-27,22.718888888888888,8.665555555555555,Partial,0.877,-65.4,-149.2
2066-06-22,13.003333333333334,19.43,Annular,0.943,70.1,-96.4
2066-12-17,12.114444444444445,0.39444444444444443,Total,1.042,-47.4,175.8
2067-06-11,12.027222222222223,20.70722222222222,Annular,0.9670000000000001,21.0,-130.2
2067-12-06,11.901944444444444,14.061944444444444,Hybrid,1.001,-6.0,-32.4
2068-05-31,12.1575,3.944166666666667,Total,1.011,-31.0,123.2
2068-11-24,12.801666666666666,21.541666666666668,Partial,0.9109999999999999,68.5,-131.1
2069-04-21,3.4325,10.185833333333333,Partial,0.899,71.0,-101.3
2069-05-20,13.228333333333333,17.888333333333332,Partial,0.08800000000000001,-68.8,-69.9
2069-10-15,3.9655555555555555,4.332222222222223,Partial,0.53,-71.6,-5.5
2070-04-11,11.609166666666667,2.6025,Total,1.047,29.1,135.1
2070-10-04,11.175833333333333,7.149166666666667,Annular,0.973,-32.8,60.4
2071-03-31,12.551666666666666,15.018333333333333,Annular,0.992,-16.7,-37.0
2071-09-23,12.227777777777778,17.34111111111111,Total,1.033,14.2,-76.7
2072-03-19,18.148611111111112,20.17527777777778,Partial,0.72,-72.2,-30.4
2072-09-12,15.78888888888889,8.988888888888889,Total,1.056,69.8,102.0
2073-02-07,9.593055555555555,1.9330555555555555,Partial,0.677,70.5,114.9
2073-08-03,11.296388888888888,17.25638888888889,Total,1.0290000000000001,-43.2,-89.4
2074-01-27,11.990833333333333,6.7375,Annular,0.98,6.6,78.8
2074-07-24,12.088888888888889,3.1755555555555555,Annular,0.9840000000000001,12.8,133.7
2075-01-16,12.327777777777778,18.601111111111113,Total,1.031,-37.2,-94.1
2075-07-13,12.442222222222222,6.095555555555555,Annular,0.9470000000000001,63.1,95.2
2076-01-06,22.544166666666666,10.124166666666667,Total,1.034,-87.2,-173.7
2076-06-01,14.109444444444444,17.522777777777776,Partial,0.29,-64.4,-51.2
2076-07-01,0.30527777777777776,6.845277777777778,Partial,0.275,67.0,-98.1
2076-11-26,14.390277777777778,11.716944444444444,Partial,0.731,63.7,40.1
2077-05-22,12.654722222222222,2.7680555555555557,Total,1.0290000000000001,-13.1,148.3
2077-11-15,12.412222222222223,17.13222222222222,Annular,0.937,7.8,-70.8
2078-05-11,11.701944444444445,17.948611111111113,Total,1.07,28.1,-93.7
2078-11-04,11.375555555555556,16.92888888888889,Annular,0.9259999999999999,-27.8,-83.3
2079-05-01,7.750277777777778,10.836944444444445,Total,1.051,66.2,-46.3
2079-10-24,7.4825,18.189166666666665,Annular,0.948,-63.4,-160.6
2080-03-21,18.064166666666665,12.3375,Partial,0.873,-60.9,85.9
2080-09-13,18.355833333333333,16.635833333333334,Partial,0.8740000000000001,61.1,25.8
2081-03-10,12.945277777777777,15.391944444444444,Annular,0.93,-22.4,-36.7
2081-09-03,12.698611111111111,9.125277777777777,Total,1.072,24.6,53.6
2082-02-27,11.643333333333333,14.783333333333333,Annular,0.93,9.4,-47.1
2082-08-24,11.3925,1.2725,Total,1.045,-10.3,151.8
2083-02-16,7.836666666666667,18.11,Partial,0.943,61.6,-154.1
2083-07-15,21.726388888888888,0.23972222222222223,Partial,0.017,64.0,-37.7
2083-08-13,8.078055555555556,12.578055555555556,Partial,0.615,-62.1,-67.5
2084-01-07,22.073055555555555,17.50638888888889,Partial,0.872,-64.4,68.5
2084-07-03,14.567222222222222,1.8405555555555555,Annular,0.9420000000000001,75.0,-169.1
2084-12-27,12.41,9.23,Total,1.04,-47.3,47.7
2085-06-22,12.107777777777779,3.3544444444444443,Annular,0.97,26.2,131.3
2085-12-16,11.91,22.63,Annular,0.997,-7.3,-160.8
2086-06-11,11.953888888888889,11.120555555555555,Total,1.0170000000000001,-23.2,12.5
2086-12-06,12.061944444444444,5.648611111111111,Partial,0.927,67.4,96.2
2087-05-02,2.585,18.078333333333333,Partial,0.8009999999999999,70.3,127.6
2087-06-01,12.480555555555556,1.4538888888888888,Partial,0.215,-67.8,165.4
2087-10-26,3.0825,11.7825,Partial,0.47,-71.0,-130.5
2088-04-21,11.536944444444444,10.530277777777778,Total,1.047,36.0,15.1
2088-10-14,11.068055555555556,14.801388888888889,Annular,0.973,-39.7,-56.0
2089-04-10,12.425,22.745,Annular,0.992,-10.2,-154.8
2089-10-04,12.109722222222222,1.256388888888889,Total,1.033,7.4,162.8
2090-03-31,17.215555555555557,3.6355555555555554,Partial,0.784,-72.1,-156.3
2090-09-23,14.243333333333334,16.94333333333333,Total,1.056,60.7,-40.5
2091-02-18,8.724444444444444,9.911111111111111,Partial,0.6559999999999999,71.2,-17.8
2091-08-15,10.611944444444445,0.5786111111111111,Total,1.022,-55.6,150.5
2092-02-07,11.925555555555556,15.172222222222222,Annular,0.9840000000000001,9.9,-48.7
2092-08-03,12.0125,9.9925,Annular,0.9790000000000001,5.6,30.3
2093-01-27,12.464444444444444,3.371111111111111,Total,1.034,-34.1,136.4
2093-07-23,12.62111111111111,12.534444444444444,Annular,0.946,54.6,1.3
2094-01-16,18.2775,18.984166666666667,Total,1.034,-84.8,-10.6
2094-06-13,13.463055555555556,0.36972222222222223,Partial,0.162,-65.3,-163.6
2094-07-12,23.59638888888889,13.409722222222221,Partial,0.42200000000000004,68.0,152.8
2094-12-07,13.765555555555556,20.09888888888889,Partial,0.705,64.7,-95.0
2095-06-02,12.607777777777779,10.127777777777778,Total,1.033,-16.7,37.2
2095-11-27,12.369166666666667,1.0491666666666666,Annular,0.9329999999999999,7.2,169.8
2096-05-22,11.847222222222221,1.6205555555555555,Total,1.074,27.3,153.4
2096-11-15,11.490833333333333,0.6041666666666666,Annular,0.924,-29.7,163.3
2097-05-11,8.608611111111111,18.575277777777778,Total,1.054,67.4,-149.5
2097-11-04,7.810277777777777,2.0236111111111112,Annular,0.9490000000000001,-65.8,86.8
2098-04-01,17.501944444444444,20.041944444444443,Partial,0.7979999999999999,-61.0,-38.1
2098-09-25,17.787777777777777,0.5211111111111111,Partial,0.787,61.1,-101.0
2098-10-24,4.2363888888888885,10.603055555555555,Partial,0.006,-61.8,-95.5
2099-03-21,12.975555555555555,22.90888888888889,Annular,0.932,-20.0,-149.0
2099-09-14,12.778055555555556,16.96472222222222,Total,1.068,23.4,-62.8
2100-03-10,11.643055555555556,22.469722222222224,Annular,0.934,12.0,-162.4
2100-09-04,11.422222222222222,8.822222222222223,Total,1.04,-10.5,39.0
